"Bar kod","Naziv robe","Kat.broj","Atribut 3","J.mj.","T.b.","Prod.cijena","VPC-PDV","Zalihe","Kol.vlast.","Rez.kol.","Kol.raspol.","Kol.kom.pri.","Kol.POS","Kol.slož.","Kol.nar.kup.","Kol.nar.dob.","D","Jamstvo","Atest","%max.rb.","Bar kod","Os.pak.","P","Odnos jm2","Kol. jm2","Prod.c. jm2","Drugi naziv robe","Treći naziv robe","Zapremina","Dimenzije","Atribut 1","Opis Atribut 1","Atribut 2","Opis Atribut 2","Opis Atribut 3","Atribut 4","Opis Atribut 4","Ambalaža","Ul.trošarina","Por.na luks.","Smještaj.R.","Smještaj","Zemlj.podr.","Drž.I.S.","Konto","Zadnji ulaz","Zadnji izlaz","Dat.unosa","Dat.izmj.","Dat.VPC","MPC+PDV","prosj. nc","1","2","3","4","5","6","7","8","PPOM","p.na.pot.","%pdv","Povr.nak.","val.","tečaj val.","c.tar.","min.kol.R.","opt.kol.R.","max.kol.R.","min.kol","opt.kol","max.kol","kalo %","proizvođač","Naziv proizvođača","dobavljač","Naziv dobavljača","gr.p.pot.","nor.amb.","www","težina pak.","j.m.težine","Z/V","Najm.ek.kol.","Traj.isporuke","Traj.proizvod.",""
"18466718926","JAKNA Ž. - COOLDOWN JACKET - SAW800259-DGHBK","SAW800259-DGHBK - 38-M","38/M","kom","6","72.86","36.43","4","4","","4","4","1","","","","","","","30.55","18466718926","","","1 kom = 1 kom","4","","COOLDOWN JACKET","SAW800259-DGHBK","","","Ž","Ž","DGH","DGH","38/M","19FW","19FW","","","","","","Indonezija","","","8/9/2019","","8/9/2019","10/19/2022","8/9/2019","72.86","25.3","","","","","","","","","","","25","","EUR","1","0","","","","","","","","2279","Wolverine World Wide, Inc. -","2279","Wolverine World Wide, Inc. -","","","","","kg","","","","",""
"18466718933","JAKNA Ž. - COOLDOWN JACKET - SAW800259-DGHBK","SAW800259-DGHBK - 36-S","36/S","kom","6","72.86","36.43","9","9","","9","9","1","","","","","","","30.55","18466718933","","","1 kom = 1 kom","9","","COOLDOWN JACKET","SAW800259-DGHBK","","","Ž","Ž","DGH","DGH","36/S","19FW","19FW","","","","","","Indonezija","","","8/9/2019","","8/9/2019","10/19/2022","8/9/2019","72.86","25.3","","","","","","","","","","","25","","EUR","1","0","","","","","","","","2279","Wolverine World Wide, Inc. -","2279","Wolverine World Wide, Inc. -","","","","","kg","","","","",""
"18466718957","JAKNA Ž. - COOLDOWN JACKET - SAW800259-DGHBK","SAW800259-DGHBK - 34-XS","34/XS","kom","6","72.86","36.43","2","2","","2","2","1","","","","","","","30.55","18466718957","","","1 kom = 1 kom","2","","COOLDOWN JACKET","SAW800259-DGHBK","","","Ž","Ž","DGH","DGH","34/XS","19FW","19FW","","","","","","Indonezija","","","8/9/2019","12/19/2022","8/9/2019","10/19/2022","8/9/2019","72.86","25.3","","","","","","","","","","","25","","EUR","1","0","","","","","","","","2279","Wolverine World Wide, Inc. -","2279","Wolverine World Wide, Inc. -","","","","","kg","","","","",""
"18466719374","HLAČE Ž. - COOLDOWN WOVEN PANT - SAW800261-BK","SAW800261-BK - 40-L","40/L","kom","6","66.23","33.11","5","5","","5","5","1","","","","","","","44.43","18466719374","","","1 kom = 1 kom","5","","COOLDOWN WOVEN PANT","SAW800261-BK","","","Ž","Ž","BK","BK","40/L","19FW","19FW","","","","","","Indonezija","","","8/9/2019","","8/9/2019","11/11/2022","8/9/2019","66.23","18.4","","","","","","","","","","","25","","EUR","1","6204639010","","","","","","","","2279","Wolverine World Wide, Inc. -","2279","Wolverine World Wide, Inc. -","","","","","kg","","","","",""
"18466719534","HLAČE Ž. - COOLDOWN WOVEN PANT - SAW800261-BK","SAW800261-BK - 38-M","38/M","kom","6","66.23","33.11","8","8","","8","8","1","","","","","APP","TEKSTIL-SAUCONY","44.43","18466719534","","","1 kom = 1 kom","8","","COOLDOWN WOVEN PANT","SAW800261-BK","","","Ž","Ž","BK","BK","38/M","19FW","19FW","","","","","","Indonezija","","","8/9/2019","","8/9/2019","11/11/2022","8/9/2019","66.23","18.4","","","","","","","","","","","25","","EUR","1","6204639010","","","","","","","","2279","Wolverine World Wide, Inc. -","2279","Wolverine World Wide, Inc. -","","","","","kg","","","","",""
"18466719541","HLAČE Ž. - COOLDOWN WOVEN PANT - SAW800261-BK","SAW800261-BK - 36-S","36/S","kom","6","66.23","33.11","7","7","","7","7","1","","","","","","","44.43","18466719541","","","1 kom = 1 kom","7","","COOLDOWN WOVEN PANT","SAW800261-BK","","","Ž","Ž","BK","BK","36/S","19FW","19FW","","","","","","Indonezija","","","8/9/2019","9/9/2022","8/9/2019","11/11/2022","8/9/2019","66.23","18.4","","","","","","","","","","","25","","EUR","1","6204639010","","","","","","","","2279","Wolverine World Wide, Inc. -","2279","Wolverine World Wide, Inc. -","","","","","kg","","","","",""
"18466719565","HLAČE Ž. - COOLDOWN WOVEN PANT - SAW800261-BK","SAW800261-BK - 34-XS","34/XS","kom","6","66.23","33.11","4","4","","4","#N/A","","","","","","","","44.43","18466719565","","","1 kom = 1 kom","4","","COOLDOWN WOVEN PANT","SAW800261-BK","","","Ž","Ž","BK","BK","34/XS","19FW","19FW","","","","","","Indonezija","","","8/9/2019","","8/9/2019","11/11/2022","8/9/2019","66.23","18.4","","","","","","","","","","","25","","EUR","1","6204639010","","","","","","","","2279","Wolverine World Wide, Inc. -","2279","Wolverine World Wide, Inc. -","","","","","kg","","","","",""
"32546446202","RUKSAK - PADDED PAK'R - EK000620008","EK000620008","-","kom","6","50","25","5","5","","5","5","1","","","","","","OPREMA","29.32","32546446202","1","","1 kom = 1 kom","5","","PADDED PAK'R","EK000620008","","","UNI","UNI","008","","-","SP21","SP21","","","","šivano","","Kambodža","","","5/22/2023","","1/19/2021","2/14/2023","2/14/2023","50","17.67","","","","","","","","","","","25","","EUR","1","4202929190","","","","","","","","3602","Eastpak,VF International SAGL","3602","Eastpak,VF International SAGL","","","brisati suhom/vlažnom tkaninom","","kg","","","","",""
"44208279639","TENISICA ŽENSKA - LIBERTY ISO - S10410-36","S10410-36 - 370","6","par","6","172.41","86.2","1","1","","1","1","1","","","","","","OBUĆA","41.55","44208279639","1","","1 PAR = 1 PAR","1","","LIBERTY ISO","S10410-36","","","","","BLU","BLU","6","19SP","19SP","","","","lijepljena/prošivena obuća","","Kina","","","2/4/2019","","12/27/2018","10/19/2022","","172.41","50.38","","","","","","","","","","","25","","USD","0.86269825","1","","","","","","","","2279","Wolverine World Wide, Inc. -","2048","Wolverine Europe Limited","","","brisanje/suho četkanje","","kg","","","","",""
"44208279646","TENISICA ŽENSKA - LIBERTY ISO - S10410-36","S10410-36 - 375","6,5","par","6","172.41","86.2","1","1","","1","1","1","","","","","","OBUĆA","41.55","44208279646","1","","1 PAR = 1 PAR","1","","LIBERTY ISO","S10410-36","","","","","BLU","BLU","6,5","19SP","19SP","","","","lijepljena/prošivena obuća","","Kina","","","2/4/2019","","12/27/2018","10/19/2022","","172.41","50.38","","","","","","","","","","","25","","USD","0.86269825","1","","","","","","","","2279","Wolverine World Wide, Inc. -","2048","Wolverine Europe Limited","","","brisanje/suho četkanje","","kg","","","","",""
