"Bar kod","Naziv robe","Kat.broj","Atribut 3","J.mj.","T.b.","Prod.cijena","VPC-PDV","Zalihe","Kol.vlast.","Rez.kol.","Kol.raspol.","Kol.kom.pri.","Kol.POS","Kol.slož.","Kol.nar.kup.","Kol.nar.dob.","D","Jamstvo","Atest","%max.rb.","Bar kod","Os.pak.","P","Odnos jm2","Kol. jm2","Prod.c. jm2","Drugi naziv robe","Treći naziv robe","Zapremina","Dimenzije","Atribut 1","Opis Atribut 1","Atribut 2","Opis Atribut 2","Opis Atribut 3","Atribut 4","Opis Atribut 4","Ambalaža","Ul.trošarina","Por.na luks.","Smještaj.R.","Smještaj","Zemlj.podr.","Drž.I.S.","Konto","Zadnji ulaz","Zadnji izlaz","Dat.unosa","Dat.izmj.","Dat.VPC","MPC+PDV","prosj. nc","1","2","3","4","5","6","7","8","PPOM","p.na.pot.","%pdv","Povr.nak.","val.","tečaj val.","c.tar.","min.kol.R.","opt.kol.R.","max.kol.R.","min.kol","opt.kol","max.kol","kalo %","proizvođač","Naziv proizvođača","dobavljač","Naziv dobavljača","gr.p.pot.","nor.amb.","www","težina pak.","j.m.težine","Z/V","Najm.ek.kol.","Traj.isporuke","Traj.proizvod.",""
"194917865316","TENISICA MUŠKA - EXCURSION TR15 GTX - S20672-1","S20672-1 - 480","13","par","6","112.68","56.34","2","2","","2","#N/A","","","","","","","OBUĆA","26.11","194917865316","1","","1 PAR = 1 PAR","2","","EXCURSION TR15 GTX","S20672-1","","","","","Black/","Black/Charcoal","13","SP22","SP22","","","","lijepljena/prošivena obuća","","Vijetnam","","","3/25/2022","","3/3/2022","8/11/2022","","112.68","41.63","","","","","","","","","","","25","","USD","0.86269825","6404110000","","","","","","","","2279","Wolverine World Wide, Inc. -","2279","Wolverine World Wide, Inc. -","","","suho četkanje","","kg","","","","",""
"194917865323","TENISICA MUŠKA - EXCURSION TR15 GTX - S20672-1","S20672-1 - 490","14","par","6","112.68","56.34","2","2","","2","#N/A","","","","","","","OBUĆA","26.11","194917865323","1","","1 PAR = 1 PAR","2","","EXCURSION TR15 GTX","S20672-1","","","","","Black/","Black/Charcoal","14","SP22","SP22","","","","lijepljena/prošivena obuća","","Vijetnam","","","3/25/2022","","3/3/2022","8/11/2022","","112.68","41.63","","","","","","","","","","","25","","USD","0.86269825","6404110000","","","","","","","","2279","Wolverine World Wide, Inc. -","2279","Wolverine World Wide, Inc. -","","","suho četkanje","","kg","","","","",""
"195017541742","TENISICA ŽENSKA - KINVARA 13 - S10723-16","S10723-16 - 360","5,5","par","6","132.59","66.3","2","2","","2","#N/A","","","","","","","OBUĆA","48.36","195017541742","1","","1 PAR = 1 PAR","2","","KINVARA 13","S10723-16","","","","","VIZIGL","VIZIGLD/VIZIRED","5,5","SP22","SP22","","","","lijepljena/prošivena obuća","","Vijetnam","","","3/25/2022","","3/3/2022","8/11/2022","","132.59","34.24","","","","","","","","","","","25","","USD","0.86269825","6404119050","","","","","","","","2279","Wolverine World Wide, Inc. -","2279","Wolverine World Wide, Inc. -","","","suho četkanje","","kg","","","","",""
"195017541759","TENISICA ŽENSKA - KINVARA 13 - S10723-16","S10723-16 - 370","6","par","6","132.59","66.3","2","2","","2","#N/A","","","","","","","OBUĆA","48.36","195017541759","1","","1 PAR = 1 PAR","2","","KINVARA 13","S10723-16","","","","","VIZIGL","VIZIGLD/VIZIRED","6","SP22","SP22","","","","lijepljena/prošivena obuća","","Vijetnam","","","3/25/2022","","3/3/2022","8/11/2022","","132.59","34.24","","","","","","","","","","","25","","USD","0.86269825","6404119050","","","","","","","","2279","Wolverine World Wide, Inc. -","2279","Wolverine World Wide, Inc. -","","","suho četkanje","","kg","","","","",""
"195017541766","TENISICA ŽENSKA - KINVARA 13 - S10723-16","S10723-16 - 375","6,5","par","6","132.59","66.3","2","2","","2","#N/A","","","","","","","OBUĆA","48.36","195017541766","1","","1 PAR = 1 PAR","2","","KINVARA 13","S10723-16","","","","","VIZIGL","VIZIGLD/VIZIRED","6,5","SP22","SP22","","","","lijepljena/prošivena obuća","","Vijetnam","","","3/25/2022","","3/3/2022","8/11/2022","","132.59","34.24","","","","","","","","","","","25","","USD","0.86269825","6404119050","","","","","","","","2279","Wolverine World Wide, Inc. -","2279","Wolverine World Wide, Inc. -","","","suho četkanje","","kg","","","","",""
"195017541773","TENISICA ŽENSKA - KINVARA 13 - S10723-16","S10723-16 - 380","7","par","6","132.59","66.3","2","2","","2","#N/A","","","","","","","OBUĆA","48.36","195017541773","1","","1 PAR = 1 PAR","2","","KINVARA 13","S10723-16","","","","","VIZIGL","VIZIGLD/VIZIRED","7","SP22","SP22","","","","lijepljena/prošivena obuća","","Vijetnam","","","3/25/2022","5/20/2022","3/3/2022","8/11/2022","","132.59","34.24","","","","","","","","","","","25","","USD","0.86269825","6404119050","","","","","","","","2279","Wolverine World Wide, Inc. -","2279","Wolverine World Wide, Inc. -","","","suho četkanje","","kg","","","","",""
"195017541780","TENISICA ŽENSKA - KINVARA 13 - S10723-16","S10723-16 - 385","7,5","par","6","132.59","66.3","2","2","","2","#N/A","","","","","","","OBUĆA","48.36","195017541780","1","","1 PAR = 1 PAR","2","","KINVARA 13","S10723-16","","","","","VIZIGL","VIZIGLD/VIZIRED","7,5","SP22","SP22","","","","lijepljena/prošivena obuća","","Vijetnam","","","3/25/2022","","3/3/2022","8/11/2022","","132.59","34.24","","","","","","","","","","","25","","USD","0.86269825","6404119050","","","","","","","","2279","Wolverine World Wide, Inc. -","2279","Wolverine World Wide, Inc. -","","","suho četkanje","","kg","","","","",""
"195017541797","TENISICA ŽENSKA - KINVARA 13 - S10723-16","S10723-16 - 390","8","par","6","132.59","66.3","2","2","","2","#N/A","","","","","","","OBUĆA","48.36","195017541797","1","","1 PAR = 1 PAR","2","","KINVARA 13","S10723-16","","","","","VIZIGL","VIZIGLD/VIZIRED","8","SP22","SP22","","","","lijepljena/prošivena obuća","","Vijetnam","","","3/25/2022","","3/3/2022","8/11/2022","","132.59","34.24","","","","","","","","","","","25","","USD","0.86269825","6404119050","","","","","","","","2279","Wolverine World Wide, Inc. -","2279","Wolverine World Wide, Inc. -","","","suho četkanje","","kg","","","","",""
"195017541803","TENISICA ŽENSKA - KINVARA 13 - S10723-16","S10723-16 - 400","8,5","par","6","132.59","66.3","2","2","","2","#N/A","","","","","","","OBUĆA","48.36","195017541803","1","","1 PAR = 1 PAR","2","","KINVARA 13","S10723-16","","","","","VIZIGL","VIZIGLD/VIZIRED","8,5","SP22","SP22","","","","lijepljena/prošivena obuća","","Vijetnam","","","3/25/2022","5/20/2022","3/3/2022","8/11/2022","","132.59","34.24","","","","","","","","","","","25","","USD","0.86269825","6404119050","","","","","","","","2279","Wolverine World Wide, Inc. -","2279","Wolverine World Wide, Inc. -","","","suho četkanje","","kg","","","","",""
"195017541810","TENISICA ŽENSKA - KINVARA 13 - S10723-16","S10723-16 - 405","9","par","6","132.59","66.3","2","2","","2","#N/A","","","","","","","OBUĆA","48.36","195017541810","1","","1 PAR = 1 PAR","2","","KINVARA 13","S10723-16","","","","","VIZIGL","VIZIGLD/VIZIRED","9","SP22","SP22","","","","lijepljena/prošivena obuća","","Vijetnam","","","3/25/2022","","3/3/2022","8/11/2022","","132.59","34.24","","","","","","","","","","","25","","USD","0.86269825","6404119050","","","","","","","","2279","Wolverine World Wide, Inc. -","2279","Wolverine World Wide, Inc. -","","","suho četkanje","","kg","","","","",""
"195017541827","TENISICA ŽENSKA - KINVARA 13 - S10723-16","S10723-16 - 410","9,5","par","6","132.59","66.3","2","2","","2","#N/A","","","","","","","OBUĆA","48.36","195017541827","1","","1 PAR = 1 PAR","2","","KINVARA 13","S10723-16","","","","","VIZIGL","VIZIGLD/VIZIRED","9,5","SP22","SP22","","","","lijepljena/prošivena obuća","","Vijetnam","","","3/25/2022","","3/3/2022","8/11/2022","","132.59","34.24","","","","","","","","","","","25","","USD","0.86269825","6404119050","","","","","","","","2279","Wolverine World Wide, Inc. -","2279","Wolverine World Wide, Inc. -","","","suho četkanje","","kg","","","","",""
